,filename,Percentile value of 90 %,Percentile value of 75 %
353,n04023962_4493,[0.35925930738449097],[0.22454282641410828]
354,n04023962_4579,[0.7034292221069336],[0.4816223978996277]
355,n04023962_4658,[0.6110233664512634],[0.47642725706100464]
356,n04023962_466,[0.4393278956413269],[0.3496049642562866]
357,n04023962_46802,[0.38451552391052246],[0.32854437828063965]
358,n04023962_46827,[0.46329444646835327],[0.24766400456428528]
359,n04023962_47,[0.7113610506057739],[0.49259379506111145]
360,n04023962_47219,[0.6757834553718567],[0.4786267876625061]
361,n04023962_47600,[0.22456251084804535],[0.16681958734989166]
362,n04023962_4809,[0.8614418506622314],[0.7742692232131958]
363,n04023962_4827,[0.48540231585502625],[0.4521307945251465]
364,n04023962_4833,[0.6494086980819702],[0.43424832820892334]
365,n04023962_4929,[0.5058887004852295],[0.36782288551330566]
366,n04023962_50242,[0.865570068359375],[0.6971343755722046]
367,n04023962_50496,[0.8434928059577942],[0.781300961971283]
368,n04023962_5050,[0.6353175044059753],[0.5421828627586365]
369,n04023962_50943,[0.49546611309051514],[0.33209189772605896]
370,n04023962_51095,[0.7650657296180725],[0.6908372044563293]
371,n04023962_5110,[0.921849250793457],[0.6747941970825195]
372,n04023962_5111,[0.7361162304878235],[0.6185368895530701]
373,n04023962_51243,[0.7569613456726074],[0.6363515853881836]
374,n04023962_51319,[0.7724785208702087],[0.6879525184631348]
375,n04023962_5147,[0.5549139976501465],[0.47006887197494507]
376,n04023962_5156,[0.6279668211936951],[0.4974067509174347]
377,n04023962_51627,[1.0],[1.0]
378,n04023962_51903,[0.7074037790298462],[0.5294057726860046]
379,n04023962_52205,[0.7255575656890869],[0.567893385887146]
380,n04023962_52480,[0.7217522263526917],[0.6115334033966064]
381,n04023962_5262,[0.9840179085731506],[0.9510258585214615]
382,n04023962_53511,[0.348909854888916],[0.2395862378180027]
383,n04023962_543,[0.704831063747406],[0.4129028916358948]
384,n04023962_5457,[0.8535248637199402],[0.7475160956382751]
385,n04023962_5491,[0.7972927093505859],[0.74587082862854]
386,n04023962_5512,[0.794426441192627],[0.5555641651153564]
387,n04023962_5523,[0.7887995839118958],[0.6000792980194092]
388,n04023962_5540,[0.7924396991729736],[0.559507429599762]
389,n04023962_5610,[0.8415098190307617],[0.7513523697853088]
390,n04023962_566,[0.8883115649223328],[0.8065773844718933]
391,n04023962_5670,[0.743671178817749],[0.45560869574546814]
392,n04023962_5760,[0.9624229669570923],[0.8725037574768066]
393,n04023962_5786,[0.7352323532104492],[0.3818005919456482]
394,n04023962_5810,[0.6805998682975769],[0.49287521839141846]
395,n04023962_5896,[0.8813794255256653],[0.7805388569831848]
396,n04023962_593,[0.614203929901123],[0.4940134882926941]
397,n04023962_5933,[0.6582476496696472],[0.6582476496696472]
398,n04023962_5981,[0.7300118803977966],[0.5690535306930542]
399,n04023962_5986,[0.6671541333198547],[0.492542564868927]
400,n04023962_6019,[0.877102255821228],[0.5602389574050903]
401,n04023962_6050,[0.5531521737575531],[0.41197311878204346]
402,n04023962_6059,[0.5178818702697754],[0.4315173029899597]
403,n04023962_6069,[0.9017399549484253],[0.8132079243659973]
404,n04023962_6111,[0.7675666809082031],[0.625981330871582]
405,n04023962_6150,[0.7094146013259888],[0.5129145383834839]
406,n04023962_6152,[0.46507421135902405],[0.34188446402549744]
407,n04023962_6154,[0.4905715882778168],[0.3283523619174957]
408,n04023962_6185,[0.8154342770576477],[0.662375271320343]
409,n04023962_6201,[0.43002623319625854],[0.34664711356163025]
410,n04023962_6226,[0.8287736177444458],[0.4986991286277771]
411,n04023962_6239,[0.840816855430603],[0.6827207803726196]
412,n04023962_6241,[0.954789400100708],[0.8156634569168091]
413,n04023962_6257,[0.7252717614173889],[0.538422703742981]
414,n04023962_6261,[0.734420120716095],[0.550849437713623]
415,n04023962_6267,[0.8426650762557983],[0.5732790231704712]
416,n04023962_6284,[0.8678326606750488],[0.7302863597869873]
417,n04023962_6288,[0.7574455142021179],[0.6194448471069336]
418,n04023962_6289,[0.7810173034667969],[0.6213773488998413]
419,n04023962_629,[0.8825961351394653],[0.7020359635353088]
420,n04023962_6300,[0.7509062886238098],[0.5741798877716064]
421,n04023962_6314,[0.5909761786460876],[0.47840753197669983]
422,n04023962_6341,[0.3485347032546997],[0.2792545258998871]
423,n04023962_6355,[0.9309844970703125],[0.8540647029876709]
424,n04023962_6377,[0.6524984240531921],[0.5100469589233398]
425,n04023962_6386,[0.5876100659370422],[0.3749517500400543]
426,n04023962_6390,[0.8364511728286743],[0.5789082646369934]
427,n04023962_6400,[0.6759592890739441],[0.5053015351295471]
428,n04023962_6401,[0.6032009124755859],[0.480227530002594]
429,n04023962_6430,[0.4433962106704712],[0.3458361029624939]
430,n04023962_6456,[0.5630118250846863],[0.4130447804927826]
431,n04023962_6489,[0.8066307306289673],[0.6775345206260681]
432,n04023962_6550,[0.8623769283294678],[0.6750322580337524]
433,n04023962_6551,[0.804263710975647],[0.6778562068939209]
434,n04023962_6576,[0.7632843255996704],[0.4503512680530548]
435,n04023962_6579,[0.5580318570137024],[0.35961011052131653]
436,n04023962_6591,[0.8427360653877258],[0.7596327066421509]
437,n04023962_6593,[0.7660819292068481],[0.708950400352478]
438,n04023962_6614,[0.7801282405853271],[0.5499411225318909]
439,n04023962_6615,[0.7364550828933716],[0.5110741853713989]
440,n04023962_6647,[0.8192952871322632],[0.6173269748687744]
441,n04023962_6676,[0.834783673286438],[0.6505042910575867]
442,n04023962_6677,[0.8886531591415405],[0.6170899868011475]
443,n04023962_6697,[0.8526102304458618],[0.6747244596481323]
444,n04023962_6757,[0.7668025493621826],[0.6526504755020142]
445,n04023962_6765,[0.8927664756774902],[0.7862721681594849]
446,n04023962_6779,[0.8593776226043701],[0.711400032043457]
447,n04023962_6783,[0.8259173631668091],[0.6882771253585815]
448,n04023962_6797,[0.4087933599948883],[0.31461101770401]
449,n04023962_6800,[0.6923134922981262],[0.5645177960395813]
450,n04023962_6813,[0.7442526817321777],[0.5556559562683105]
451,n04023962_6829,[0.8577316403388977],[0.7480471730232239]
452,n04023962_6833,[0.8889442682266235],[0.7501167058944702]
453,n04023962_6836,[0.8719331622123718],[0.6301844120025635]
454,n04023962_6837,[0.7239634394645691],[0.7022767663002014]
455,n04023962_6852,[0.6804987192153931],[0.5418058633804321]
456,n04023962_6854,[0.8367531299591064],[0.6981133818626404]
457,n04023962_6868,[0.6150487065315247],[0.5104185342788696]
458,n04023962_6874,[0.5153937339782715],[0.3820228576660156]
459,n04023962_6920,[0.9305074214935303],[0.7782600522041321]
460,n04023962_6955,[0.7759162187576294],[0.6272973418235779]
461,n04023962_7009,[0.6120792627334595],[0.5093438029289246]
462,n04023962_701,[0.6819913387298584],[0.5718951225280762]
463,n04023962_7017,[0.5890038013458252],[0.4714955985546112]
464,n04023962_7040,[0.8521458506584167],[0.813363254070282]
465,n04023962_7041,[0.7757836580276489],[0.6862691044807434]
466,n04023962_7049,[0.6761519908905029],[0.40179306268692017]
467,n04023962_7096,[0.7368677854537964],[0.4927394390106201]
468,n04023962_7104,[0.7139558792114258],[0.4849863648414612]
469,n04023962_7138,[0.8044745326042175],[0.5904501080513]
470,n04023962_7159,[0.7216166257858276],[0.6344664096832275]
471,n04023962_7251,[0.6727697849273682],[0.510921835899353]
472,n04023962_7261,[0.7826628088951111],[0.65450119972229]
473,n04023962_7284,[0.464885413646698],[0.31668955087661743]
474,n04023962_7323,[0.6974658966064453],[0.5796159505844116]
475,n04023962_7344,[0.5642139315605164],[0.4147440493106842]
476,n04023962_7353,[0.6670994758605957],[0.48015469312667847]
477,n04023962_7357,[0.4968544542789459],[0.3571951389312744]
478,n04023962_7376,[0.7591304779052734],[0.5455415844917297]
479,n04023962_7381,[0.6293407082557678],[0.4289664626121521]
480,n04023962_7383,[0.765295684337616],[0.6694086790084839]
481,n04023962_7403,[0.8631956577301025],[0.6961110234260559]
482,n04023962_7408,[0.9149295091629028],[0.5391309261322021]
483,n04023962_7410,[0.6227933764457703],[0.41772907972335815]
484,n04023962_7499,[0.6198313236236572],[0.3390488922595978]
485,n04023962_75,[0.5301232933998108],[0.29955023527145386]
486,n04023962_7530,[0.6805574893951416],[0.5027835369110107]
487,n04023962_7535,[0.8335701823234558],[0.5813366174697876]
488,n04023962_7555,[0.7484549283981323],[0.6458507180213928]
489,n04023962_7558,[0.9561070203781128],[0.8817834854125977]
490,n04023962_7565,[0.8984488248825073],[0.5878894925117493]
491,n04023962_7569,[0.7002917528152466],[0.5710445046424866]
492,n04023962_7570,[0.7095710039138794],[0.4682798385620117]
493,n04023962_7580,[0.7106100916862488],[0.5270957946777344]
494,n04023962_7629,[0.8808690309524536],[0.7728207111358643]
495,n04023962_7644,[0.5908854007720947],[0.47383588552474976]
496,n04023962_7648,[0.8646963834762573],[0.7431219816207886]
497,n04023962_7650,[0.7841261625289917],[0.4935648441314697]
498,n04023962_7675,[0.7913569211959839],[0.6927446126937866]
499,n04023962_7707,[0.41624006628990173],[0.3138445019721985]
500,n04023962_7722,[0.7460606694221497],[0.5434858798980713]
501,n04023962_7804,[0.8661430478096008],[0.7488879561424255]
502,n04023962_7822,[0.735557496547699],[0.5668888688087463]
503,n04023962_7893,[0.616391122341156],[0.40812844038009644]
504,n04023962_7918,[0.5663304924964905],[0.387184202671051]
505,n04023962_7921,[0.5191965103149414],[0.3509230613708496]
506,n04023962_7945,[0.8202731609344482],[0.7588067054748535]
507,n04023962_7963,[0.8331333994865417],[0.6868981719017029]
508,n04023962_7969,[0.8121762275695801],[0.6485817432403564]
509,n04023962_7987,[0.781064510345459],[0.6086094975471497]
510,n04023962_80,[0.7281172871589661],[0.5794491767883301]
511,n04023962_8015,[0.4354422986507416],[0.3129964768886566]
512,n04023962_8048,[0.6563947200775146],[0.5131219178438187]
513,n04023962_8100,[0.9290018081665039],[0.7544189691543579]
514,n04023962_8102,[0.8044372797012329],[0.6827877163887024]
515,n04023962_8128,[0.8193948268890381],[0.6182869076728821]
516,n04023962_8134,[0.8191031217575073],[0.6250267028808594]
517,n04023962_8166,[0.6618070602416992],[0.49052223563194275]
518,n04023962_8206,[0.7940965890884399],[0.6098315119743347]
519,n04023962_8283,[0.8908299207687378],[0.5677865743637085]
520,n04023962_8284,[0.6692811250686646],[0.4835773706436157]
521,n04023962_8290,[0.8628432750701904],[0.7438459396362305]
522,n04023962_8307,[0.5971978902816772],[0.5326352715492249]
523,n04023962_8327,[0.8522192239761353],[0.7173867225646973]
524,n04023962_8329,[0.735482931137085],[0.6006594896316528]
525,n04023962_8330,[0.5563766360282898],[0.38806986808776855]
526,n04023962_8370,[0.7558503746986389],[0.5970947742462158]
527,n04023962_8371,[0.8674540519714355],[0.6350031495094299]
528,n04023962_8378,[0.6096600294113159],[0.40941569209098816]
529,n04023962_8401,[0.9312344789505005],[0.7381476163864136]
530,n04023962_8413,[0.7776592969894409],[0.6603450179100037]
531,n04023962_8476,[0.48130694031715393],[0.38647907972335815]
532,n04023962_8486,[0.766612708568573],[0.5312395095825195]
533,n04023962_8514,[1.0],[0.7924787402153015]
534,n04023962_8564,[0.6741385459899902],[0.5060135126113892]
535,n04023962_8566,[0.9833604097366333],[0.893986701965332]
536,n04023962_8591,[0.8353465795516968],[0.6246576309204102]
537,n04023962_8621,[0.9492616057395935],[0.9144565463066101]
538,n04023962_8653,[0.8131777048110962],[0.7245145440101624]
539,n04023962_8659,[0.7366133332252502],[0.695284903049469]
540,n04023962_8661,[0.7206293344497681],[0.4140978455543518]
541,n04023962_8698,[0.6746723651885986],[0.5429481267929077]
542,n04023962_8712,[0.8878780007362366],[0.7377534508705139]
543,n04023962_873,[0.8096911907196045],[0.6278019547462463]
544,n04023962_8763,[0.857049822807312],[0.7695952653884888]
545,n04023962_8926,[0.5043660402297974],[0.3306630551815033]
546,n04023962_8949,[0.8162761926651001],[0.6032616496086121]
547,n04023962_8958,[0.8863911628723145],[0.7855621576309204]
548,n04023962_9059,[0.21581310033798218],[0.20678168535232544]
549,n04023962_9065,[0.6652164459228516],[0.45783594250679016]
550,n04023962_9073,[0.7240362167358398],[0.5945795774459839]
551,n04023962_9117,[0.8038594722747803],[0.7378836870193481]
552,n04023962_9149,[0.8275734186172485],[0.7238959074020386]
553,n04023962_9159,[0.5927358269691467],[0.3126748502254486]
554,n04023962_917,[0.9319880604743958],[0.7398704290390015]
555,n04023962_9205,[0.7175387144088745],[0.541791558265686]
556,n04023962_9229,[0.5795631408691406],[0.43065690994262695]
557,n04023962_9274,[0.6353838443756104],[0.47441935539245605]
558,n04023962_9294,[0.7716031074523926],[0.5433412790298462]
559,n04023962_9297,[0.6311265826225281],[0.5811143070459366]
560,n04023962_9328,[0.9487742185592651],[0.8479962944984436]
561,n04023962_9371,[0.7370250225067139],[0.6350952982902527]
562,n04023962_9398,[0.7811195850372314],[0.5844672322273254]
563,n04023962_9431,[0.5286790728569031],[0.42505139112472534]
564,n04023962_9478,[0.6017342209815979],[0.5362733602523804]
565,n04023962_9515,[0.8531856536865234],[0.6755267381668091]
566,n04023962_9543,[0.5463296175003052],[0.37356749176979065]
567,n04023962_9573,[0.7598099112510681],[0.6059600710868835]
568,n04023962_9625,[0.9374302625656128],[0.9052354693412781]
569,n04023962_9628,[0.6497669219970703],[0.6273840069770813]
570,n04023962_9655,[0.9380086064338684],[0.8328140377998352]
571,n04023962_966,[0.5310989022254944],[0.4789130687713623]
572,n04023962_9667,[0.8463201522827148],[0.6582052707672119]
573,n04023962_9679,[0.5611492395401001],[0.4443206191062927]
574,n04023962_9691,[0.6813063621520996],[0.5121890902519226]
575,n04023962_970,[0.60239177942276],[0.5275344848632812]
576,n04023962_9774,[0.7117098569869995],[0.578398585319519]
577,n04023962_9811,[0.6572282910346985],[0.4767252206802368]
578,n04023962_9838,[0.6280317306518555],[0.46323466300964355]
579,n04023962_9854,[0.8511601686477661],[0.5370320677757263]
580,n04023962_9857,[0.7019855976104736],[0.54878830909729]
581,n04023962_9891,[0.7462819218635559],[0.5725980699062347]
582,n04023962_9912,[0.6093928813934326],[0.43561261892318726]
583,n04023962_9955,[0.697647213935852],[0.5468049049377441]
584,n12144580_10063,[0.581325352191925],[0.4126100540161133]
585,n12144580_10170,[1.0],[1.0]
586,n12144580_10273,[0.8279713988304138],[0.7450476884841919]
587,n12144580_1030,[0.6603059768676758],[0.5124419927597046]
588,n12144580_10633,[0.7595111131668091],[0.618723452091217]
589,n12144580_10717,[0.6242534518241882],[0.3825123906135559]
590,n12144580_10853,[0.4076131582260132],[0.2982065677642822]
591,n12144580_10998,[0.5750961303710938],[0.5041061043739319]
592,n12144580_1107,[0.5836560130119324],[0.45612141489982605]
593,n12144580_11076,[0.7087637782096863],[0.568518340587616]
594,n12144580_11111,[0.5702834725379944],[0.4430329501628876]
595,n12144580_1119,[0.9481795430183411],[0.781649112701416]
596,n12144580_11204,[0.8751760125160217],[0.7235679626464844]
597,n12144580_11216,[0.8186526298522949],[0.648531973361969]
598,n12144580_11360,[0.6655740737915039],[0.5314961075782776]
599,n12144580_11371,[0.9649917483329773],[0.8623100519180298]
600,n12144580_11389,[0.8904418349266052],[0.5607352256774902]
601,n12144580_11449,[0.6740291714668274],[0.5216957926750183]
602,n12144580_11512,[0.2517653703689575],[0.14328251779079437]
603,n12144580_11515,[0.7728914022445679],[0.6013134717941284]
604,n12144580_11662,[0.6502785682678223],[0.5617126822471619]
605,n12144580_11696,[0.6625509858131409],[0.48552054166793823]
606,n12144580_11764,[0.8447678685188293],[0.5956587195396423]
607,n12144580_11769,[0.472732812166214],[0.4001140594482422]
608,n12144580_11785,[1.0],[0.8995177149772644]
609,n12144580_11869,[0.9016026258468628],[0.8389979004859924]
610,n12144580_11956,[0.4118318557739258],[0.3486468493938446]
611,n12144580_1196,[0.8293333053588867],[0.662584662437439]
612,n12144580_12001,[0.7391386032104492],[0.6177679300308228]
613,n12144580_12048,[0.7666588425636292],[0.47712981700897217]
614,n12144580_1205,[1.0],[0.8456981778144836]
615,n12144580_1218,[0.8746477365493774],[0.6983169317245483]
616,n12144580_12186,[0.6752573847770691],[0.5728718638420105]
617,n12144580_12189,[0.746469259262085],[0.46386218070983887]
618,n12144580_12317,[0.804475724697113],[0.6994653940200806]
619,n12144580_12394,[1.0],[0.8320542573928833]
620,n12144580_12409,[0.8546305894851685],[0.7433115243911743]
621,n12144580_12415,[0.7355518937110901],[0.48980921506881714]
622,n12144580_12487,[0.20162346959114075],[0.20162346959114075]
623,n12144580_12755,[0.8782061338424683],[0.7285074591636658]
624,n12144580_12913,[0.9860692024230957],[0.7726951837539673]
625,n12144580_1293,[0.8809773325920105],[0.7664216756820679]
626,n12144580_12943,[0.8675780296325684],[0.7452006340026855]
627,n12144580_12948,[0.5697968006134033],[0.4211479723453522]
628,n12144580_13023,[0.7114040851593018],[0.43906253576278687]
629,n12144580_13111,[0.7961660623550415],[0.6433625221252441]
630,n12144580_13164,[0.9385538697242737],[0.8705978989601135]
631,n12144580_13237,[0.7409592270851135],[0.5178828239440918]
632,n12144580_13268,[0.669846773147583],[0.5017218589782715]
633,n12144580_13373,[0.6892181038856506],[0.5101860761642456]
634,n12144580_1350,[0.787563681602478],[0.6871747374534607]
635,n12144580_13516,[0.7100356817245483],[0.5666730403900146]
636,n12144580_1373,[1.0],[0.9485770463943481]
637,n12144580_13809,[1.0],[0.8700001835823059]
638,n12144580_13851,[0.9072167277336121],[0.6917567253112793]
639,n12144580_14007,[0.7191325426101685],[0.4743030071258545]
640,n12144580_14033,[0.8037437796592712],[0.6536139249801636]
641,n12144580_1404,[0.47606784105300903],[0.41190463304519653]
642,n12144580_1410,[0.6530099511146545],[0.46024006605148315]
643,n12144580_14100,[0.8102119565010071],[0.717203676700592]
644,n12144580_14110,[0.6684532165527344],[0.5087301731109619]
645,n12144580_14114,[0.6662365794181824],[0.5265612006187439]
646,n12144580_14203,[0.9368669390678406],[0.8743922710418701]
647,n12144580_14252,[0.659174919128418],[0.5572382211685181]
648,n12144580_14255,[0.8398885726928711],[0.7100402116775513]
649,n12144580_14263,[0.9435979127883911],[0.8240147829055786]
650,n12144580_14317,[0.7610824704170227],[0.36869674921035767]
651,n12144580_1444,[0.7689747214317322],[0.6003726124763489]
652,n12144580_14458,[1.0],[0.86716628074646]
653,n12144580_14531,[0.8079737424850464],[0.7154183387756348]
654,n12144580_14610,[0.6519476771354675],[0.4819334149360657]
655,n12144580_1470,[0.6912806630134583],[0.5231709480285645]
656,n12144580_1473,[0.4883946180343628],[0.21925127506256104]
657,n12144580_1480,[0.8562544584274292],[0.7806133031845093]
658,n12144580_15066,[0.5489348769187927],[0.49316343665122986]
659,n12144580_15081,[0.784888744354248],[0.6675629019737244]
660,n12144580_1514,[0.7268333435058594],[0.5833659768104553]
661,n12144580_15140,[0.5001814961433411],[0.38231199979782104]
662,n12144580_15151,[0.6951050758361816],[0.5455518364906311]
663,n12144580_1523,[0.744337797164917],[0.6383309960365295]
664,n12144580_15425,[0.7356857061386108],[0.6031649112701416]
665,n12144580_15725,[0.8813756704330444],[0.6928643584251404]
666,n12144580_15743,[0.6516034603118896],[0.5047550201416016]
667,n12144580_1578,[0.9716734290122986],[0.8092896938323975]
668,n12144580_15802,[0.5289955735206604],[0.3366164565086365]
669,n12144580_15901,[0.6571833491325378],[0.5098066926002502]
670,n12144580_15909,[0.9568753242492676],[0.8791092038154602]
671,n12144580_15976,[0.5332164764404297],[0.3528340458869934]
672,n12144580_15987,[0.8041178584098816],[0.5756410360336304]
673,n12144580_1599,[0.9047231674194336],[0.7195202112197876]
674,n12144580_16104,[0.6456507444381714],[0.47627824544906616]
675,n12144580_16119,[0.8625971078872681],[0.7174638509750366]
676,n12144580_1613,[0.8366675972938538],[0.7839792966842651]
677,n12144580_16136,[0.682355523109436],[0.43182528018951416]
678,n12144580_1622,[0.680203914642334],[0.5467017292976379]
679,n12144580_16229,[0.6291974782943726],[0.47711026668548584]
680,n12144580_16437,[0.8160685896873474],[0.785378098487854]
681,n12144580_16440,[0.8225041627883911],[0.6354324817657471]
682,n12144580_16448,[0.9280722141265869],[0.860831081867218]
683,n12144580_16462,[0.6880046129226685],[0.47340476512908936]
684,n12144580_16482,[0.7999045848846436],[0.6797062754631042]
685,n12144580_16514,[0.4808896780014038],[0.3449442982673645]
686,n12144580_16634,[0.48253172636032104],[0.4029691815376282]
687,n12144580_16641,[1.0],[0.7985724806785583]
688,n12144580_16648,[0.6352382898330688],[0.5192221403121948]
689,n12144580_16840,[0.6238831877708435],[0.4857632517814636]
690,n12144580_16897,[0.5932931900024414],[0.49202701449394226]
691,n12144580_16926,[0.6959623694419861],[0.5010534524917603]
692,n12144580_16960,[0.6573909521102905],[0.4224982261657715]
693,n12144580_1699,[0.8830655813217163],[0.559873104095459]
694,n12144580_17008,[0.8884092569351196],[0.8422570824623108]
695,n12144580_17024,[0.5391920804977417],[0.415200412273407]
696,n12144580_1715,[0.9397266507148743],[0.8157967329025269]
697,n12144580_17153,[0.5280114412307739],[0.3942035436630249]
698,n12144580_1728,[0.8095145225524902],[0.5968554019927979]
699,n12144580_17329,[0.7460149526596069],[0.6302189826965332]
700,n12144580_1759,[0.5754891633987427],[0.38697266578674316]
701,n12144580_17610,[0.5758402943611145],[0.4231741428375244]
702,n12144580_17708,[0.786895751953125],[0.7394520044326782]
703,n12144580_17732,[1.0],[0.8764159679412842]
704,n12144580_17793,[0.6767170429229736],[0.5173520445823669]
705,n12144580_17848,[0.6192156672477722],[0.46085667610168457]
706,n12144580_17946,[0.9533195495605469],[0.8483816385269165]
707,n12144580_18055,[0.9533505439758301],[0.8566049337387085]
708,n12144580_18124,[0.8683995008468628],[0.7671520709991455]
709,n12144580_18266,[0.5745766162872314],[0.457791268825531]
